CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Maryia TSIASELKINA POSITION,Maryia TSIASELKINA LAP TIME,Maryia TSIASELKINA ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
3,14.28,14.28,5,14.59,14.59,4,14.42,14.42,1,14.11,14.11,2,14.22,14.22
3,10.97,25.25,5,10.86,25.45,4,10.94,25.36,1,10.87,24.98,2,10.90,25.12
3,10.95,36.20,5,11.04,36.49,4,10.99,36.35,1,10.93,35.91,2,10.93,36.05
2,10.35,46.55,5,10.38,46.87,4,10.28,46.63,1,10.52,46.43,3,10.51,46.56
1,9.10,55.65,5,9.65,56.52,2,9.12,55.75,3,9.40,55.83,4,9.48,56.04
1,9.25,1:04.90,5,9.80,1:06.32,2,9.24,1:04.99,3,9.29,1:05.12,4,9.30,1:05.34
1,9.33,1:14.23,5,10.42,1:16.74,2,9.32,1:14.31,3,9.32,1:14.44,4,9.49,1:14.83
1,9.40,1:23.63,5,10.88,1:27.62,2,9.40,1:23.71,3,9.35,1:23.79,4,9.92,1:24.75
1,9.61,1:33.24,5,11.31,1:38.93,2,9.59,1:33.30,3,9.54,1:33.33,4,10.52,1:35.27
