Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
1,6.88,6.88,2,7.00,7.00,3,7.12,7.12,4,7.33,7.33
1,9.17,16.05,2,9.08,16.08,3,9.05,16.17,4,8.93,16.26
4,9.33,25.38,2,9.00,25.08,1,8.86,25.03,3,8.95,25.21
4,8.76,34.14,3,8.85,33.93,1,8.60,33.63,2,8.61,33.82
4,8.88,43.02,3,8.89,42.82,1,8.72,42.35,2,8.61,42.43
