GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
1,12.26,12.26,3,12.50,12.50,4,12.61,12.61,2,12.40,12.40
1,9.48,21.74,4,9.43,21.93,3,9.25,21.86,2,9.43,21.84
1,9.23,30.97,2,9.63,31.56,4,9.88,31.74,3,9.75,31.59
1,9.14,40.11,2,9.34,40.91,4,9.28,41.03,3,9.32,40.92
1,9.14,49.26,3,9.60,50.52,4,9.66,50.70,2,9.51,50.43
1,9.25,58.52,3,9.27,59.79,2,8.91,59.61,4,9.53,59.97
1,9.20,1:07.72,3,9.06,1:08.85,2,9.10,1:08.72,4,9.07,1:09.04
1,9.21,1:16.93,3,9.17,1:18.03,2,9.23,1:17.95,4,9.17,1:18.22
1,9.39,1:26.32,3,9.40,1:27.43,2,9.43,1:27.39,4,9.61,1:27.83
1,9.07,1:35.40,3,9.40,1:36.83,2,9.41,1:36.80,4,9.67,1:37.51
1,9.35,1:44.75,3,9.38,1:46.22,2,9.29,1:46.09,4,9.53,1:47.05
1,9.49,1:54.25,4,10.46,1:56.68,2,9.29,1:55.38,3,9.60,1:56.65
1,9.34,2:03.59,4,9.84,2:06.52,2,9.45,2:04.84,3,9.36,2:06.02
1,9.30,2:12.90,4,9.58,2:16.11,2,9.34,2:14.18,3,9.49,2:15.52
1,9.22,2:22.12,4,9.77,2:25.89,2,9.68,2:23.86,3,10.08,2:25.60
1,9.16,2:31.29,4,9.49,2:35.38,2,9.47,2:33.34,3,9.51,2:35.12
1,9.63,2:40.92,3,9.47,2:44.85,2,9.33,2:42.67,4,9.80,2:44.92
1,9.68,2:50.61,3,9.45,2:54.30,2,9.59,2:52.26,4,9.42,2:54.34
1,9.49,3:00.10,4,9.81,3:04.12,2,9.45,3:01.71,3,9.60,3:03.95
1,9.50,3:09.61,4,9.52,3:13.65,2,9.43,3:11.14,3,9.45,3:13.41
1,9.17,3:18.78,4,9.89,3:23.55,2,9.69,3:20.84,3,9.45,3:22.86
1,9.40,3:28.19,4,9.46,3:33.01,2,9.76,3:30.61,3,9.86,3:32.72
1,9.83,3:38.03,3,9.29,3:42.30,2,9.45,3:40.06,4,9.69,3:42.41
1,9.76,3:47.79,4,9.75,3:52.05,2,9.46,3:49.53,3,9.60,3:52.01
1,9.54,3:57.33,3,9.71,4:01.77,2,9.49,3:59.02,4,10.01,4:02.03
1,9.46,4:06.80,3,10.02,4:11.79,2,9.84,4:08.86,4,9.80,4:11.84
1,9.77,4:16.562,4,10.48,4:22.268,2,9.78,4:18.636,3,9.51,4:21.341
