CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
1,11.791,11.791,2,11.948,11.948,3,12.036,12.036,4,12.246,12.246
1,9.204,20.995,2,9.331,21.279,3,9.396,21.432,4,9.347,21.592
1,9.141,30.135,3,9.162,30.441,2,8.922,30.354,4,9.240,30.833
1,9.316,39.451,3,9.195,39.636,2,9.195,39.548,4,9.026,39.858
2,9.506,48.957,3,9.561,49.197,1,9.249,48.797,4,9.490,49.348
2,9.393,58.350,3,9.436,58.633,1,9.315,58.113,4,9.403,58.751
2,9.369,1:07.720,3,9.315,1:07.948,1,9.360,1:07.473,4,9.382,1:08.133
2,9.461,1:17.181,3,9.323,1:17.270,1,9.482,1:16.955,4,9.232,1:17.365
3,9.279,1:26.460,2,9.130,1:26.400,1,9.204,1:26.159,4,9.437,1:26.802
3,9.113,1:35.572,2,9.130,1:35.531,1,9.182,1:35.340,4,9.030,1:35.832
2,8.852,1:44.424,1,8.761,1:44.291,3,9.112,1:44.452,4,9.150,1:44.982
1,8.984,1:53.408,2,9.190,1:53.481,3,9.125,1:53.577,4,8.930,1:53.912
2,9.168,2:02.576,1,8.969,2:02.449,3,9.007,2:02.583,4,9.126,2:03.038
3,9.114,2:11.690,1,9.038,2:11.488,2,9.055,2:11.638,4,8.970,2:12.008
2,8.961,2:20.651,3,9.170,2:20.658,1,8.913,2:20.551,4,8.982,2:20.990
3,9.139,2:29.790,2,9.002,2:29.659,1,8.974,2:29.525,4,9.097,2:30.086
1,8.880,2:38.669,2,9.073,2:38.733,3,9.260,2:38.785,4,9.120,2:39.207
2,9.170,2:47.839,3,9.131,2:47.863,1,8.813,2:47.598,4,9.024,2:48.231
3,9.192,2:57.031,1,8.899,2:56.762,2,9.287,2:56.885,4,9.192,2:57.423
3,9.014,3:06.045,1,8.970,3:05.732,2,9.012,3:05.897,4,9.101,3:06.524
2,8.614,3:14.659,3,9.019,3:14.751,1,8.727,3:14.624,4,8.982,3:15.505
2,9.248,3:23.906,3,9.215,3:23.966,1,9.226,3:23.850,4,9.208,3:24.713
2,9.051,3:32.958,1,8.970,3:32.936,3,9.141,3:32.991,4,9.038,3:33.752
2,8.915,3:41.873,1,8.868,3:41.804,3,8.925,3:41.916,4,9.003,3:42.755
2,9.231,3:51.104,4,18.207,4:00.010,1,8.998,3:50.914,3,9.361,3:52.115
1,9.280,4:00.384,0,,,3,12.177,4:03.091,2,9.208,4:01.323
3,9.852,4:10.236,1,,4:08.976,4,11.898,4:14.988,2,7.929,4:09.251
2,9.236,4:19.472,1,9.164,4:18.141,4,9.458,4:24.446,3,10.655,4:19.907
2,8.872,4:28.344,1,9.429,4:27.569,4,9.385,4:33.831,3,9.216,4:29.122
2,8.975,4:37.318,1,9.202,4:36.772,4,9.375,4:43.206,3,9.326,4:38.448
2,9.191,4:46.509,1,9.118,4:45.890,4,9.753,4:52.959,3,9.460,4:47.908
2,8.964,4:55.474,1,9.116,4:55.006,4,10.148,5:03.107,3,9.580,4:57.487
2,9.298,5:04.771,1,8.944,5:03.950,4,10.156,5:13.263,3,9.332,5:06.820
2,9.080,5:13.851,1,9.178,5:13.128,4,10.002,5:23.265,3,9.545,5:16.365
2,9.363,5:23.214,1,9.517,5:22.645,4,9.317,5:32.582,3,9.275,5:25.641
2,8.874,5:32.088,1,9.279,5:31.924,4,9.283,5:41.865,3,9.454,5:35.095
2,9.467,5:41.555,1,9.396,5:41.320,4,9.465,5:51.330,3,9.630,5:44.724
2,9.081,5:50.635,1,9.106,5:50.426,4,9.788,6:01.118,3,9.556,5:54.280
2,9.460,6:00.095,1,9.072,5:59.498,4,9.924,6:11.042,3,9.590,6:03.870
2,9.319,6:09.414,1,9.208,6:08.706,4,9.304,6:20.346,3,9.424,6:13.294
2,9.144,6:18.559,1,9.853,6:18.559,4,9.965,6:30.311,3,9.588,6:22.881
1,9.027,6:27.586,2,9.459,6:28.019,4,9.571,6:39.882,3,9.760,6:32.642
2,9.945,6:37.531,1,9.470,6:37.488,4,9.878,6:49.760,3,9.706,6:42.347
2,9.513,6:47.044,1,8.915,6:46.404,4,10.159,6:59.919,3,9.625,6:51.972
2,9.791,6:56.834,1,9.427,6:55.831,4,10.659,7:10.579,3,10.180,7:02.153
