OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
2,13.169,13.169,3,13.400,13.400,1,13.113,13.113,4,13.409,13.409
2,10.490,23.658,3,10.260,23.659,1,10.484,23.596,4,10.520,23.929
1,9.516,33.173,3,9.598,33.257,4,9.771,33.367,2,9.302,33.231
1,9.440,42.613,2,9.360,42.617,4,9.454,42.820,3,9.483,42.713
1,9.131,51.744,2,9.417,52.034,3,9.301,52.120,4,9.510,52.223
1,9.182,1:00.925,2,9.127,1:01.161,4,9.283,1:01.402,3,9.087,1:01.309
3,9.539,1:10.464,1,9.263,1:10.424,4,9.213,1:10.614,2,9.153,1:10.461
1,8.999,1:19.463,2,9.142,1:19.566,4,9.204,1:19.818,3,9.131,1:19.592
3,9.64,1:29.097,2,9.38,1:28.945,4,10.44,1:30.251,1,9.28,1:28.864
