Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
1,12.210,12.210,2,12.390,12.390,3,12.770,12.770,4,12.800,12.800
2,10.120,22.330,1,9.850,22.250,3,9.840,22.610,4,10.080,22.880
1,9.980,32.310,2,10.110,32.360,3,9.880,32.490,4,9.940,32.830
1,9.860,42.180,2,9.870,42.230,4,9.940,42.440,3,9.470,42.300
2,9.590,51.770,1,9.490,51.730,4,9.540,51.990,3,9.660,51.970
1,9.460,1:01.230,2,9.540,1:01.280,4,9.640,1:01.630,3,9.460,1:01.430
2,9.550,1:10.780,1,9.490,1:10.780,3,10.060,1:11.700,4,11.560,1:12.990
1,9.310,1:20.100,2,9.430,1:20.220,4,8.890,1:20.590,3,7.280,1:20.270
1,9.600,1:29.710,2,9.610,1:29.830,3,9.470,1:30.070,4,9.880,1:30.160
