Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Emil KARNEEV POSITION,Emil KARNEEV LAP TIME,Emil KARNEEV ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
1,12.68,12.68,2,12.82,12.82,3,12.91,12.91,4,13.07,13.07
1,10.26,22.94,2,10.25,23.07,4,10.25,23.16,3,10.07,23.14
1,9.66,32.60,2,9.61,32.68,3,9.61,32.77,4,9.72,32.86
1,9.66,42.26,2,9.60,42.28,3,9.64,42.41,4,9.65,42.51
2,9.56,51.82,1,9.33,51.61,3,9.48,51.89,4,9.61,52.12
2,9.10,1:00.92,1,9.15,1:00.76,3,9.14,1:01.03,4,9.40,1:01.52
2,9.12,1:10.04,1,9.17,1:09.93,3,9.11,1:10.14,4,9.45,1:10.97
2,9.48,1:19.52,1,9.44,1:19.37,3,9.42,1:19.56,4,9.98,1:20.95
2,9.50,1:29.015,1,9.59,1:28.956,3,9.48,1:29.041,4,10.14,1:31.088
