Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Rosalie TREMBLAY POSITION,Rosalie TREMBLAY LAP TIME,Rosalie TREMBLAY ELAPSED TIME
1,15.78,15.78,2,15.91,15.91,5,16.27,16.27,4,16.13,16.13,3,16.00,16.00
1,12.11,27.89,2,12.11,28.02,5,12.04,28.31,4,12.09,28.22,3,12.11,28.11
1,11.60,39.49,3,11.60,39.62,5,11.58,39.89,4,11.54,39.76,2,11.39,39.50
2,10.56,50.05,5,10.98,50.60,4,10.42,50.31,3,10.43,50.19,1,10.47,49.97
3,10.77,1:00.82,5,10.60,1:01.20,4,10.59,1:00.90,2,10.56,1:00.75,1,10.61,1:00.58
4,10.44,1:11.26,5,10.62,1:11.82,1,9.82,1:10.72,3,10.34,1:11.09,2,10.33,1:10.91
4,9.99,1:21.25,5,11.03,1:22.85,1,9.89,1:20.61,3,10.11,1:21.20,2,9.80,1:20.71
3,10.25,1:31.50,5,11.32,1:34.17,1,9.94,1:30.55,4,10.42,1:31.62,2,9.99,1:30.70
3,10.27,1:41.766,5,11.76,1:45.929,1,10.13,1:40.673,4,10.56,1:42.175,2,10.09,1:40.785
