Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME
2,13.46,13.46,1,13.39,13.39,5,13.78,13.78,4,13.58,13.58,3,13.57,13.57
3,9.94,23.40,2,9.89,23.28,4,9.76,23.54,5,9.99,23.57,1,9.57,23.14
3,9.16,32.56,2,9.17,32.45,4,9.16,32.70,5,9.32,32.89,1,9.20,32.34
3,9.18,41.74,2,9.16,41.61,4,9.15,41.85,5,9.03,41.92,1,9.18,41.52
3,9.02,50.76,1,9.03,50.64,4,9.07,50.92,5,9.09,51.01,2,9.23,50.75
2,9.27,1:00.03,1,9.14,59.78,4,9.35,1:00.27,5,9.37,1:00.38,3,9.47,1:00.22
2,9.30,1:09.33,1,9.18,1:08.96,3,9.09,1:09.36,5,9.33,1:09.71,4,9.32,1:09.54
4,9.67,1:19.00,1,9.15,1:18.11,2,8.95,1:18.31,5,9.47,1:19.18,3,9.24,1:18.78
5,10.41,1:29.41,1,9.12,1:27.23,2,9.09,1:27.40,4,9.88,1:29.06,3,9.48,1:28.26
