Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME
4,9.42,9.42,5,9.55,9.55,2,9.16,9.16,3,9.28,9.28,1,9.05,9.05
4,12.07,21.49,5,12.02,21.57,2,12.11,21.27,3,12.08,21.36,1,12.13,21.18
4,12.38,33.87,5,12.36,33.93,1,12.17,33.44,3,12.36,33.72,2,12.41,33.59
4,12.21,46.08,5,12.26,46.19,1,12.30,45.74,3,12.26,45.98,2,12.27,45.86
4,12.53,58.61,5,12.53,58.72,1,12.54,58.28,3,12.52,58.50,2,12.54,58.40
4,11.81,1:10.42,5,11.80,1:10.52,2,11.88,1:10.16,3,11.79,1:10.29,1,11.73,1:10.13
4,10.35,1:20.77,5,10.34,1:20.86,1,10.29,1:20.45,3,10.34,1:20.63,1,10.32,1:20.45
4,10.01,1:30.78,5,10.02,1:30.88,1,10.06,1:30.51,3,10.02,1:30.65,2,10.08,1:30.53
4,9.53,1:40.31,5,9.53,1:40.41,2,9.60,1:40.11,3,9.55,1:40.20,1,9.51,1:40.04
4,9.68,1:49.99,5,9.70,1:50.11,2,9.72,1:49.83,3,9.68,1:49.88,1,9.70,1:49.74
4,9.58,1:59.57,5,9.74,1:59.85,2,9.59,1:59.42,2,9.54,1:59.42,1,9.57,1:59.31
4,9.43,2:09.00,5,10.00,2:09.85,3,9.56,2:08.98,1,9.12,2:08.54,2,9.55,2:08.86
3,9.68,2:18.68,5,10.21,2:20.06,3,9.70,2:18.68,1,9.18,2:17.72,2,9.76,2:18.62
0,10.05,2:28.73,5,10.21,2:30.27,0,10.05,2:28.73,1,9.57,2:27.29,2,9.86,2:28.48
