Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,7.904,7.904,5,8.066,8.066,1,7.855,7.855,4,8.048,8.048,3,7.963,7.963,6,8.131,8.131,7,8.197,8.197,8,8.443,8.443
1,10.733,18.637,7,11.298,19.364,3,11.230,19.085,4,11.128,19.175,2,10.759,18.723,5,11.044,19.175,8,11.392,19.589,6,10.794,19.237
1,10.517,29.154,8,10.495,29.859,5,10.424,29.509,4,10.324,29.499,2,10.598,29.321,6,10.392,29.567,7,10.267,29.857,3,10.150,29.387
1,10.161,39.315,8,10.073,39.931,3,10.107,39.616,2,10.082,39.581,4,10.303,39.624,6,10.109,39.676,7,10.007,39.863,5,10.284,39.671
3,10.138,49.452,5,9.710,49.642,2,9.755,49.371,6,10.104,49.686,7,10.182,49.806,4,9.898,49.573,8,10.041,49.905,1,9.608,49.279
3,9.711,59.163,1,9.367,59.009,4,10.051,59.422,5,9.822,59.508,6,9.711,59.516,2,9.536,59.110,8,9.845,59.750,7,10.422,59.701
1,9.722,1:08.885,2,10.066,1:09.075,4,9.869,1:09.291,6,9.876,1:09.383,5,9.788,1:09.304,3,9.975,1:09.085,8,9.745,1:09.495,7,9.741,1:09.442
4,10.500,1:19.385,1,10.226,1:19.300,2,10.032,1:19.323,5,10.087,1:19.470,6,10.171,1:19.475,3,10.297,1:19.382,7,10.268,1:19.763,8,10.368,1:19.810
4,9.594,1:28.980,3,9.653,1:28.953,5,9.907,1:29.230,1,9.364,1:28.834,6,9.762,1:29.238,2,9.489,1:28.871,8,10.094,1:29.857,7,9.816,1:29.626
3,9.621,1:38.600,4,9.760,1:38.713,5,9.587,1:38.817,2,9.695,1:38.528,6,9.855,1:39.093,1,9.520,1:38.391,8,9.998,1:39.855,7,9.733,1:39.359
4,9.906,1:48.506,3,9.739,1:48.451,6,9.925,1:48.742,2,9.801,1:48.329,5,9.628,1:48.721,1,9.906,1:48.297,8,10.374,1:50.228,7,9.553,1:48.911
5,9.680,1:58.185,3,9.496,1:57.947,6,9.585,1:58.327,4,9.621,1:57.950,2,9.219,1:57.940,1,9.613,1:57.909,8,11.169,2:01.397,7,10.014,1:58.925
5,9.540,2:07.725,6,9.901,2:07.848,2,8.961,2:07.288,3,9.436,2:07.386,4,9.775,2:07.716,1,9.256,2:07.165,8,11.576,2:12.973,7,10.541,2:09.466
3,9.920,2:17.645,7,19.429,2:27.277,2,10.206,2:17.494,1,9.926,2:17.312,5,12.775,2:20.490,8,21.411,2:28.576,6,11.273,2:24.246,4,10.793,2:20.259
