EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,KIM Geon Hee POSITION,KIM Geon Hee LAP TIME,KIM Geon Hee ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,Camille de SERRES-RAINVILLE POSITION,Camille de SERRES-RAINVILLE LAP TIME,Camille de SERRES-RAINVILLE ELAPSED TIME,XING Ailin POSITION,XING Ailin LAP TIME,XING Ailin ELAPSED TIME
5,10.51,10.51,7,10.77,10.77,4,10.48,10.48,6,10.53,10.53,2,10.34,10.34,1,10.30,10.30,3,10.43,10.43
5,14.81,25.32,7,14.92,25.69,3,14.65,25.13,6,14.97,25.50,2,14.67,25.01,1,14.55,24.85,4,14.88,25.31
3,13.91,39.23,7,14.13,39.82,4,14.23,39.36,6,14.17,39.67,2,14.11,39.12,1,14.13,38.98,5,14.23,39.54
3,13.67,52.90,7,13.58,53.40,4,13.62,52.98,5,13.42,53.09,1,13.63,52.75,2,13.80,52.78,6,13.68,53.22
3,13.06,1:05.96,7,13.12,1:06.52,4,13.16,1:06.14,5,13.13,1:06.22,1,12.86,1:05.61,2,13.05,1:05.83,6,13.16,1:06.38
2,12.60,1:18.56,7,12.47,1:18.99,4,12.51,1:18.65,4,12.43,1:18.65,1,12.84,1:18.45,3,12.74,1:18.57,6,12.29,1:18.67
1,9.84,1:28.40,7,11.51,1:30.50,5,10.18,1:28.83,6,10.27,1:28.92,3,10.14,1:28.59,4,10.13,1:28.70,2,9.84,1:28.51
1,9.67,1:38.07,7,11.53,1:42.03,5,9.73,1:38.56,6,9.75,1:38.67,3,9.71,1:38.30,4,9.63,1:38.33,2,9.67,1:38.18
1,9.46,1:47.53,7,12.14,1:54.17,5,9.45,1:48.01,6,9.45,1:48.12,4,9.60,1:47.90,3,9.45,1:47.78,2,9.42,1:47.60
1,9.31,1:56.84,7,13.70,2:07.87,5,9.29,1:57.30,6,9.27,1:57.39,4,9.29,1:57.19,3,9.27,1:57.05,2,9.33,1:56.93
1,9.35,2:06.19,7,12.92,2:20.79,5,9.27,2:06.57,6,9.29,2:06.68,4,9.30,2:06.49,3,9.35,2:06.40,2,9.43,2:06.36
1,9.25,2:15.44,7,13.15,2:33.94,4,9.42,2:15.99,6,9.44,2:16.12,5,9.51,2:16.00,3,9.49,2:15.89,2,9.45,2:15.81
1,9.40,2:24.84,7,12.87,2:46.81,3,9.46,2:25.45,5,9.41,2:25.53,6,9.57,2:25.57,4,9.61,2:25.50,2,9.56,2:25.37
1,9.63,2:34.47,7,12.98,2:59.792,2,9.39,2:34.84,5,9.75,2:35.28,0,9.66,2:35.23,6,10.20,2:35.701,0,9.87,2:35.24
