Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
1,6.580,6.580,3,6.870,6.870,4,7.020,7.020,2,6.780,6.780
2,9.450,16.040,1,9.160,16.030,4,9.590,16.610,3,9.600,16.380
1,8.750,24.790,2,9.090,25.130,3,8.720,25.330,4,8.990,25.380
1,8.740,33.540,2,8.820,33.950,3,8.950,34.290,4,11.260,36.650
1,9.100,42.640,2,9.430,43.380,4,9.400,43.700,3,6.740,43.390
