Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
2,13.25,13.25,4,13.68,13.68,3,13.40,13.40,1,13.15,13.15
2,10.64,23.89,4,10.40,24.08,3,10.58,23.98,1,10.65,23.80
3,10.62,34.51,4,10.57,34.65,2,10.48,34.46,1,10.65,34.45
3,10.29,44.80,4,10.24,44.89,1,10.12,44.58,2,10.19,44.64
3,10.14,54.94,4,10.15,55.04,2,10.23,54.81,1,10.00,54.64
3,10.03,1:04.97,4,10.04,1:05.08,2,10.08,1:04.89,1,10.01,1:04.65
2,10.01,1:14.98,4,10.12,1:15.20,3,10.26,1:15.15,1,10.02,1:14.67
2,10.31,1:25.29,4,10.30,1:25.50,3,10.30,1:25.45,1,10.06,1:24.73
2,10.55,1:35.834,3,10.39,1:35.887,4,10.69,1:36.137,1,10.54,1:35.264
