GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
6,9.59,9.59,5,9.52,9.52,2,9.34,,3,9.35,9.35,1,9.28,9.28,4,9.41,9.41,7,9.68,9.68
6,12.84,22.43,7,12.99,22.51,3,12.83,,5,13.01,22.36,4,12.98,22.26,1,12.59,22.00,2,12.39,22.07
7,11.98,34.41,2,11.42,33.93,3,11.84,,6,11.96,34.32,5,11.96,34.22,4,12.13,34.13,1,11.82,33.89
7,11.21,45.62,2,11.38,45.31,4,11.40,,5,11.17,45.49,6,11.31,45.53,1,11.14,45.27,3,11.48,45.37
2,10.19,55.81,5,10.74,56.05,4,10.50,,3,10.33,55.82,7,10.73,56.26,1,10.52,55.79,6,10.80,56.17
1,10.20,1:06.01,4,10.26,1:06.31,5,10.53,,7,10.96,1:06.78,3,10.04,1:06.30,2,10.26,1:06.05,5,10.27,1:06.44
2,10.08,1:16.09,4,10.04,1:16.35,6,10.09,,7,10.09,1:16.87,3,9.94,1:16.24,1,9.93,1:15.98,5,10.00,1:16.44
2,10.45,1:26.54,4,10.46,1:26.81,6,10.52,,7,10.21,1:27.08,3,10.46,1:26.70,1,10.44,1:26.42,5,10.53,1:26.97
3,9.97,1:36.51,5,9.87,1:36.68,4,9.49,,7,9.93,1:37.01,1,9.62,1:36.32,2,9.92,1:36.34,6,9.87,1:36.84
3,9.37,1:45.88,5,9.36,1:46.04,4,9.48,,7,9.97,1:46.98,1,9.29,1:45.61,2,9.29,1:45.63,6,9.45,1:46.29
3,9.25,1:55.13,4,9.24,1:55.28,6,9.74,,7,10.56,1:57.54,2,9.34,1:54.95,1,9.04,1:54.67,5,9.45,1:55.74
3,9.39,2:04.52,4,9.39,2:04.67,6,9.91,,7,11.09,2:08.63,2,9.13,2:04.08,1,9.32,2:03.99,5,9.67,2:05.41
3,9.86,2:14.38,4,9.82,2:14.49,6,10.79,,7,11.42,2:20.05,1,9.29,2:13.37,2,9.55,2:13.54,5,9.97,2:15.38
3,10.30,2:24.669,4,10.29,2:24.770,6,13.03,,6,11.53,2:31.565,1,9.50,2:22.860,2,9.83,2:23.354,5,10.28,2:25.646
