Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,14.31,14.31,2,14.40,14.40,2,14.40,14.40,5,14.65,14.65,4,14.50,14.50
2,10.18,24.49,3,10.16,24.56,1,9.99,24.39,5,10.13,24.78,4,10.15,24.65
1,9.94,34.43,2,9.99,34.55,3,10.23,34.62,5,10.02,34.80,4,10.00,34.65
1,9.95,44.38,2,9.93,44.48,5,10.23,44.85,4,9.90,44.70,3,9.94,44.59
1,9.93,54.31,2,9.92,54.40,5,9.94,54.79,4,9.91,54.61,3,9.92,54.51
2,9.82,1:04.13,1,9.71,1:04.11,5,9.89,1:04.68,4,9.73,1:04.34,3,9.79,1:04.30
3,9.59,1:13.72,1,9.46,1:13.57,5,10.26,1:14.94,2,9.29,1:13.63,4,9.54,1:13.84
3,9.59,1:23.31,2,9.55,1:23.12,5,10.64,1:25.58,1,9.18,1:22.81,4,9.63,1:23.47
3,9.75,1:33.06,2,9.79,1:32.91,5,11.34,1:36.927,1,9.43,1:32.24,4,9.73,1:33.203
