Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME
2,6.96,6.96,1,6.83,6.83,3,7.11,7.11,4,7.28,7.28
2,8.89,15.85,1,8.90,15.73,3,8.85,15.96,4,9.00,16.28
2,8.38,24.23,1,8.49,24.22,3,8.43,24.39,4,8.74,25.02
1,8.64,32.87,2,8.72,32.94,3,8.65,33.04,4,8.94,33.96
1,8.94,41.81,0,,PHOTO,0,,PHOTO,4,9.25,43.21
