BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
4,14.00,14.00,3,13.79,13.79,1,13.58,13.58,2,13.59,13.59
4,9.59,23.59,2,9.66,23.45,3,9.97,23.55,1,9.77,23.36
4,10.51,34.10,2,10.46,33.91,3,10.36,33.91,1,10.44,33.80
4,9.96,44.06,1,9.85,43.76,3,9.97,43.88,2,10.08,43.88
2,9.81,53.87,1,9.96,53.72,3,10.20,54.08,4,10.25,54.13
2,9.86,1:03.73,1,9.94,1:03.66,4,9.93,1:04.01,3,9.71,1:03.84
1,9.60,1:13.33,2,9.83,1:13.49,4,10.09,1:14.10,3,9.79,1:13.63
1,9.56,1:22.89,2,9.52,1:23.01,4,10.29,1:24.39,3,9.54,1:23.17
1,9.51,1:32.394,2,9.62,1:32.627,4,10.39,1:34.772,3,9.62,1:32.789
