Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
4,13.36,13.36,2,13.13,13.13,1,13.07,13.07,3,13.24,13.24
4,10.96,24.32,3,11.04,24.17,2,11.00,24.07,1,10.72,23.96
4,10.18,34.50,3,10.20,34.37,2,10.15,34.22,1,10.26,34.22
4,9.52,44.02,3,9.49,43.86,1,9.55,43.77,2,9.60,43.82
3,9.15,53.17,4,9.32,53.18,1,9.25,53.02,2,9.30,53.12
3,9.38,1:02.55,4,9.58,1:02.76,1,9.30,1:02.32,2,9.28,1:02.40
3,9.31,1:11.86,4,9.35,1:12.11,1,9.32,1:11.64,2,9.30,1:11.70
3,9.34,1:21.20,4,9.39,1:21.50,2,9.22,1:20.86,1,9.04,1:20.74
3,9.69,1:30.882,4,9.70,1:31.192,2,9.22,1:30.079,1,9.26,1:29.997
