MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME
1,15.76,15.76,2,15.87,15.87,3,15.93,15.93,4,16.15,16.15,5,16.28,16.28
1,11.48,27.24,2,11.51,27.38,3,11.48,27.41,4,11.48,27.63,5,11.49,27.77
1,10.02,37.26,2,9.97,37.35,3,10.05,37.46,4,9.98,37.61,5,9.95,37.72
4,9.83,47.09,1,9.47,46.82,2,9.47,46.93,3,9.45,47.06,5,9.58,47.30
4,9.34,56.43,1,9.26,56.08,2,9.26,56.19,3,9.24,56.30,5,9.27,56.57
4,9.22,1:05.65,1,9.06,1:05.14,2,9.10,1:05.29,3,9.10,1:05.40,5,9.18,1:05.75
4,9.51,1:15.16,1,9.00,1:14.14,3,9.12,1:14.41,2,8.85,1:14.25,5,9.50,1:15.25
5,10.03,1:25.19,1,9.38,1:23.52,3,9.46,1:23.87,2,9.35,1:23.60,4,9.82,1:25.07
5,10.30,1:35.470,2,9.78,1:33.30,3,9.77,1:33.621,1,9.53,1:33.13,4,10.05,1:35.114
