Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME,Sarah CHEN POSITION,Sarah CHEN LAP TIME,Sarah CHEN ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME
4,7.76,7.76,2,7.67,7.67,5,7.79,7.79,1,7.28,7.28,3,7.74,7.74
5,10.20,17.96,2,9.62,17.29,3,9.68,17.47,1,9.27,16.55,4,9.98,17.72
5,9.34,27.30,2,9.10,26.39,3,8.97,26.44,1,8.86,25.41,4,9.03,26.75
5,9.32,36.62,2,9.32,35.71,3,9.31,35.75,1,8.98,34.39,4,9.01,35.76
3,9.57,46.181,4,35.49,1:11.199,0,,PEN,1,9.19,43.571,2,10.07,45.822
