Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME
1,12.98,12.98,3,13.31,13.31,2,13.19,13.19,4,13.37,13.37
1,9.83,22.81,2,9.53,22.84,3,9.76,22.95,4,9.70,23.07
2,9.46,32.27,1,9.33,32.17,3,9.43,32.38,4,9.41,32.48
1,9.50,41.77,2,9.70,41.87,3,9.62,42.00,4,9.60,42.08
1,9.35,51.12,2,9.39,51.26,3,9.38,51.38,4,9.40,51.48
1,9.29,1:00.41,2,9.20,1:00.46,3,9.22,1:00.60,4,9.27,1:00.75
3,9.29,1:09.70,1,8.85,1:09.31,2,8.84,1:09.44,4,9.30,1:10.05
3,9.33,1:19.03,1,8.95,1:18.26,2,8.93,1:18.37,4,9.77,1:19.82
3,9.72,1:28.75,1,9.47,1:27.73,2,9.47,1:27.84,4,10.22,1:30.04
