Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
4,13.34,13.34,3,13.14,13.14,2,12.92,12.92,1,12.82,12.82,5,13.38,13.38
4,9.66,23.01,1,9.71,22.85,2,9.95,22.88,3,10.15,22.97,5,9.88,23.27
4,9.46,32.48,1,9.42,32.28,2,9.43,32.31,3,9.39,32.37,5,9.44,32.72
4,9.36,41.84,2,9.40,41.68,1,9.36,41.67,3,9.35,41.73,5,9.23,41.95
4,9.19,51.04,3,9.26,50.94,1,9.20,50.88,2,9.20,50.93,5,9.17,51.13
2,9.14,1:00.18,1,9.13,1:00.07,3,9.34,1:00.22,5,9.37,1:00.30,4,9.10,1:00.23
4,9.51,1:09.70,5,9.72,1:09.79,1,9.23,1:09.46,3,9.22,1:09.53,2,9.26,1:09.49
4,9.42,1:19.13,5,10.93,1:20.73,2,9.61,1:19.07,3,9.58,1:19.12,1,9.14,1:18.64
4,9.76,1:28.888,5,13.01,1:33.737,2,9.43,1:28.497,3,9.69,1:28.802,1,9.70,1:28.338
