Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Dries CELIS POSITION,Dries CELIS LAP TIME,Dries CELIS ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME
4,7.108,7.108,2,6.965,6.965,3,7.065,7.065,5,7.384,7.384,1,6.957,6.957
2,9.369,16.476,1,9.153,16.118,3,9.560,16.625,5,9.492,16.876,4,9.814,16.771
2,9.051,25.527,1,8.872,24.989,3,9.053,25.678,4,8.937,25.812,5,9.231,26.001
2,9.078,34.605,1,9.158,34.147,3,9.098,34.775,4,9.070,34.882,5,9.200,35.200
2,9.51,44.112,1,9.75,43.890,4,9.61,44.381,3,9.34,44.219,5,10.01,45.205
