GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME
2,7.71,7.71,1,7.52,7.52,3,7.94,7.94,4,8.05,8.05
2,9.56,17.27,1,9.45,16.97,3,9.56,17.50,4,9.61,17.66
2,9.03,26.30,1,8.93,25.90,3,8.92,26.42,4,8.84,26.50
2,9.09,35.39,1,9.01,34.91,3,9.14,35.56,4,9.07,35.57
0,,PHOTO,1,9.39,44.30,4,9.86,45.42,0,,PHOTO
