Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
1,13.57,13.57,3,13.74,13.74,2,13.64,13.64,4,13.77,13.77
3,10.12,23.69,1,9.89,23.63,2,9.99,23.64,4,10.07,23.84
2,10.25,33.94,1,10.14,33.78,3,10.32,33.96,4,10.16,34.01
2,10.22,44.16,1,10.26,44.05,3,10.21,44.18,4,10.20,44.22
3,10.19,54.36,1,10.21,54.26,2,10.11,54.29,4,10.22,54.44
1,9.40,1:03.76,2,9.53,1:03.79,3,9.64,1:03.93,4,9.51,1:03.96
1,9.43,1:13.19,2,9.53,1:13.32,4,9.45,1:13.38,3,9.39,1:13.35
1,9.53,1:22.72,2,9.48,1:22.80,4,9.63,1:23.01,3,9.63,1:22.98
1,10.10,1:32.813,3,31.22,1:54.020,2,10.64,1:33.646,0,,DQ
