Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
3,12.883,12.883,1,12.735,12.735,4,12.942,12.942,2,12.763,12.763
1,9.515,22.398,3,9.888,22.622,4,9.789,22.731,2,9.806,22.569
1,9.883,32.280,2,9.819,32.440,4,9.738,32.469,3,9.876,32.444
3,9.700,41.980,1,9.495,41.935,4,9.639,42.107,2,9.518,41.961
2,9.274,51.254,1,9.300,51.235,4,9.221,51.327,3,9.310,51.271
2,9.234,1:00.487,3,9.358,1:00.592,4,9.309,1:00.636,1,9.204,1:00.474
2,9.271,1:09.758,3,9.180,1:09.772,4,9.273,1:09.909,1,9.231,1:09.705
2,9.219,1:18.976,3,9.319,1:19.090,4,9.423,1:19.332,1,9.190,1:18.894
3,9.72,1:28.688,2,9.32,1:28.408,4,9.78,1:29.112,1,9.43,1:28.324
