Ryu WATANABE POSITION,Ryu WATANABE LAP TIME,Ryu WATANABE ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,In Suk HONG POSITION,In Suk HONG LAP TIME,In Suk HONG ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
1,12.73,12.73,2,12.80,12.80,4,13.51,13.51,3,12.94,12.94
1,9.26,21.99,3,9.40,22.20,4,9.46,22.97,2,9.17,22.11
3,9.30,31.29,1,8.95,31.15,4,9.13,32.10,2,9.07,31.18
3,9.44,40.73,1,8.98,40.13,4,8.93,41.03,2,9.29,40.47
3,9.17,49.90,1,8.85,48.98,4,9.59,50.62,2,9.23,49.70
3,9.44,59.34,1,9.95,58.93,4,9.32,59.94,2,9.36,59.06
3,9.33,1:08.67,1,9.20,1:08.13,4,9.25,1:09.19,2,9.19,1:08.25
1,8.55,1:17.22,2,9.18,1:17.31,4,8.66,1:17.85,3,9.20,1:17.45
4,10.60,1:27.813,1,9.71,1:27.013,3,9.36,1:27.209,2,9.64,1:27.086
