Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
1,6.53,6.53,2,6.63,6.63,3,6.93,6.93,4,7.12,7.12
1,8.86,15.40,2,8.78,15.41,3,8.93,15.86,4,8.97,16.10
1,8.64,24.05,2,8.79,24.21,3,8.63,24.50,4,8.63,24.73
2,8.73,32.78,1,8.50,32.72,4,9.09,33.59,3,8.69,33.42
1,9.25,42.025,2,9.34,42.059,4,9.83,43.411,3,8.84,42.252
