KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,Hazar KARAGOL POSITION,Hazar KARAGOL LAP TIME,Hazar KARAGOL ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Koen SLOOTWEG POSITION,Koen SLOOTWEG LAP TIME,Koen SLOOTWEG ELAPSED TIME,Rafael HEREDIA-BARBA POSITION,Rafael HEREDIA-BARBA LAP TIME,Rafael HEREDIA-BARBA ELAPSED TIME
3,7.67,7.67,1,7.31,7.31,6,8.37,,5,8.09,,4,8.01,8.01,2,7.65,7.65,7,8.60,8.60
4,9.78,17.45,1,9.65,16.96,6,9.68,,5,9.93,,3,9.41,17.42,2,9.43,17.08,7,10.15,18.75
4,9.65,27.10,2,9.83,26.79,5,9.34,,6,9.56,,3,9.51,26.93,1,9.67,26.75,7,10.05,28.80
4,9.68,36.78,2,9.55,36.34,5,9.51,,7,26.14,,3,9.54,36.47,1,9.49,36.24,6,10.18,38.98
5,9.73,46.51,2,9.61,45.95,4,9.39,,7,15.00,,3,9.60,46.07,1,9.63,45.87,6,10.89,49.87
5,9.89,56.40,2,9.81,55.76,4,9.73,,7,11.47,,3,9.79,55.86,1,9.78,55.65,6,11.35,1:01.22
5,10.37,1:06.77,1,9.79,1:05.55,4,9.86,,7,11.25,,3,9.88,1:05.74,2,9.99,1:05.64,6,11.94,1:13.16
5,10.89,1:17.66,1,9.60,1:15.15,4,9.84,,7,11.40,,3,9.82,1:15.56,2,9.84,1:15.48,6,13.25,1:26.41
5,11.65,1:29.31,1,9.96,1:25.11,4,9.81,,7,12.27,,2,9.67,1:25.23,3,9.96,1:25.44,6,12.50,1:38.91
5,11.98,1:41.29,1,9.84,1:34.95,3,10.29,,7,12.63,,2,9.92,1:35.15,4,10.41,1:35.85,6,12.65,1:51.56
5,11.87,1:53.16,1,10.06,1:45.01,4,10.61,,7,11.66,,2,9.98,1:45.13,3,10.43,1:46.28,6,12.79,2:04.35
5,11.77,2:04.93,1,10.19,1:55.20,4,10.76,,7,11.73,,2,10.18,1:55.31,3,10.76,1:57.04,6,13.42,2:17.77
5,12.24,2:17.17,1,10.45,2:05.65,3,10.47,,7,11.88,,2,10.51,2:05.82,4,10.84,2:07.88,6,12.67,2:30.44
5,12.02,2:29.19,1,10.65,2:16.30,3,10.83,,7,11.39,2:54.40,2,11.19,2:17.01,4,10.94,2:18.82,6,13.10,2:43.54
