Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME
4,7.527,7.527,2,7.180,7.180,3,7.297,7.297,1,6.760,6.760
2,8.579,16.105,3,9.023,16.203,4,8.985,16.282,1,8.882,15.641
2,8.824,24.929,3,9.042,25.244,4,24.133,40.414,1,8.959,24.600
2,8.908,33.837,3,8.668,33.912,4,21.001,1:01.415,1,9.202,33.802
1,9.34,43.175,3,10.41,44.315,4,14.56,1:15.969,2,9.73,43.527
