Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
4,13.248,13.248,3,13.164,13.164,1,12.892,12.892,2,13.098,13.098
3,10.164,23.411,2,10.184,23.348,1,10.326,23.218,4,10.314,23.412
3,9.664,33.075,1,9.544,32.892,4,9.896,33.113,2,9.629,33.040
4,10.076,43.150,2,10.030,42.921,3,9.838,42.950,1,9.665,42.705
4,9.766,52.916,1,9.548,52.468,2,9.734,52.684,3,10.125,52.830
2,9.585,1:02.500,4,10.305,1:02.773,1,9.754,1:02.437,3,9.774,1:02.603
3,9.812,1:12.311,4,9.749,1:12.522,1,9.641,1:12.077,2,9.546,1:12.149
3,9.477,1:21.787,2,9.153,1:21.674,1,9.524,1:21.600,4,9.876,1:22.024
2,9.77,1:31.555,1,9.80,1:31.475,3,10.27,1:31.869,4,10.61,1:32.632
