Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,CHOE Un Song POSITION,CHOE Un Song LAP TIME,CHOE Un Song ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
1,7.03,7.03,2,7.14,7.14,3,7.28,7.28,5,7.67,7.67,4,7.39,7.39
1,9.03,16.06,2,9.04,16.18,3,9.02,16.30,5,9.12,16.79,4,9.03,16.42
3,8.69,24.75,1,8.37,24.55,2,8.42,24.72,5,8.40,25.19,4,8.50,24.92
4,8.84,33.59,1,8.49,33.04,2,8.48,33.20,5,8.46,33.65,3,8.66,33.58
4,9.36,42.95,1,8.63,41.67,2,8.51,41.71,5,13.23,46.88,3,8.76,42.34
