Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
2,10.10,10.10,3,10.18,10.18,1,10.05,10.05,6,10.53,10.53,4,10.24,10.24,5,10.52,10.52
3,12.59,22.69,1,12.28,22.46,2,12.57,22.62,5,12.46,22.99,4,12.50,22.74,6,12.61,23.13
1,11.55,34.24,3,11.85,34.31,4,11.81,34.43,5,11.52,34.51,2,11.54,34.28,6,11.53,34.66
3,12.29,46.53,2,12.12,46.43,5,12.29,46.72,6,12.37,46.88,1,12.11,46.39,4,11.92,46.58
2,11.13,57.66,1,11.22,57.65,5,11.20,57.92,6,11.32,58.20,3,11.33,57.72,4,11.14,57.72
3,10.56,1:08.22,1,10.46,1:08.11,5,10.62,1:08.54,6,10.55,1:08.75,4,10.60,1:08.32,2,10.47,1:08.19
3,10.36,1:18.58,1,10.34,1:18.45,5,10.30,1:18.84,6,10.30,1:19.05,4,10.30,1:18.62,2,10.36,1:18.55
1,10.16,1:28.74,2,10.39,1:28.84,5,10.25,1:29.09,6,10.25,1:29.30,3,10.30,1:28.92,4,10.38,1:28.93
2,10.02,1:38.76,3,10.03,1:38.87,4,9.79,1:38.88,6,9.98,1:39.28,1,9.81,1:38.73,5,10.31,1:39.24
2,9.81,1:48.57,3,9.82,1:48.69,4,9.81,1:48.69,5,9.73,1:49.01,1,9.63,1:48.36,6,10.35,1:49.59
2,9.67,1:58.24,4,9.90,1:58.59,3,9.67,1:58.36,5,9.78,1:58.79,1,9.69,1:58.05,6,10.63,2:00.22
2,9.99,2:08.23,5,9.87,2:08.46,3,9.95,2:08.31,4,9.66,2:08.45,1,10.05,2:08.10,6,10.90,2:11.12
3,10.27,2:18.50,5,10.24,2:18.70,4,10.21,2:18.52,2,9.93,2:18.38,1,10.24,2:18.34,6,11.28,2:22.40
3,10.27,2:28.761,5,13.28,2:31.977,4,10.73,2:29.247,1,9.82,2:28.200,2,10.35,2:28.685,6,11.39,2:33.786
