Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
3,15.320,15.320,4,15.460,15.460,1,14.970,14.970,2,15.170,15.170
3,11.170,26.500,4,11.160,26.620,1,11.330,26.300,2,11.220,26.400
2,10.710,37.210,4,10.730,37.350,1,10.820,37.130,3,10.850,37.260
2,10.580,47.800,3,10.560,47.920,1,10.540,47.670,4,10.660,47.920
4,10.420,58.220,2,10.250,58.180,1,10.430,58.110,3,10.270,58.200
4,10.170,1:08.390,3,9.830,1:08.010,2,9.830,1:07.940,1,9.700,1:07.910
3,10.240,1:18.640,2,10.000,1:18.010,4,11.060,1:19.010,1,10.010,1:17.930
3,10.540,1:29.180,1,10.400,1:28.420,4,11.000,1:30.020,2,10.500,1:28.430
3,11.250,1:40.430,2,10.670,1:39.090,4,11.990,1:42.020,1,10.580,1:39.010
