AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME
3,10.09,10.09,4,10.21,10.21,2,9.91,9.91,1,9.82,9.82,6,10.33,10.33,7,10.52,10.52,4,10.21,10.21
4,13.30,23.39,7,13.37,23.58,1,13.17,23.08,3,13.40,23.22,6,13.18,23.51,5,12.93,23.45,2,12.91,23.12
5,11.71,35.10,7,11.74,35.32,3,11.75,34.83,4,11.71,34.93,6,11.70,35.21,2,11.30,34.75,1,11.52,34.64
6,11.11,46.21,2,10.47,45.79,4,11.11,45.94,5,11.10,46.03,7,11.17,46.38,3,11.09,45.84,1,11.08,45.72
6,10.05,56.26,1,9.93,55.72,4,10.09,56.03,5,10.11,56.14,7,9.96,56.34,3,10.07,55.91,2,10.14,55.86
6,10.24,1:06.50,2,10.32,1:06.04,4,10.22,1:06.25,5,10.25,1:06.39,7,10.30,1:06.64,3,10.27,1:06.18,1,10.15,1:06.01
6,9.87,1:16.37,4,10.00,1:16.04,3,9.70,1:15.95,5,9.77,1:16.16,7,9.84,1:16.48,2,9.70,1:15.88,1,9.76,1:15.77
6,9.38,1:25.75,4,9.52,1:25.56,3,9.52,1:25.47,5,9.51,1:25.67,7,9.36,1:25.84,2,9.51,1:25.39,1,9.55,1:25.32
6,9.75,1:35.50,4,9.72,1:35.28,3,9.68,1:35.15,5,9.72,1:35.39,7,9.78,1:35.62,2,9.69,1:35.08,1,9.66,1:34.98
6,9.62,1:45.12,4,9.68,1:44.96,3,9.70,1:44.85,5,9.68,1:45.07,7,9.69,1:45.31,1,9.59,1:44.67,2,9.72,1:44.70
6,9.46,1:54.58,4,9.22,1:54.18,3,9.23,1:54.08,5,9.29,1:54.36,7,9.64,1:54.95,1,9.26,1:53.93,2,9.31,1:54.01
6,9.48,2:04.06,4,9.23,2:03.41,3,9.22,2:03.30,5,9.18,2:03.54,7,10.05,2:05.00,1,9.13,2:03.06,2,9.15,2:03.16
6,10.40,2:14.46,4,9.15,2:12.56,3,9.12,2:12.42,5,9.25,2:12.79,7,10.56,2:15.56,1,8.89,2:11.95,2,9.09,2:12.25
6,11.36,2:25.82,4,9.35,2:21.91,3,9.36,2:21.78,5,9.61,2:22.40,7,10.92,2:26.48,1,9.12,2:21.07,2,9.42,2:21.67
