KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Dustin MILLER POSITION,Dustin MILLER LAP TIME,Dustin MILLER ELAPSED TIME
2,7.13,7.13,1,6.97,6.97,3,7.24,7.24,4,7.33,7.33
2,9.20,16.33,1,9.26,16.23,3,9.16,16.40,4,9.20,16.53
2,8.62,24.95,1,8.65,24.88,3,8.69,25.09,4,8.67,25.20
1,8.78,33.73,2,8.95,33.83,4,9.00,34.09,3,8.72,33.92
1,8.67,42.397,2,8.85,42.672,3,9.26,43.341,0,,PEN
