Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME
2,8.07,8.07,4,8.17,8.17,1,7.98,7.98,3,8.07,8.07,5,8.35,8.35,6,8.67,8.67
5,11.08,19.15,1,10.59,18.76,2,10.91,18.89,4,10.94,19.01,3,10.58,18.93,6,10.77,19.44
5,9.66,28.81,2,9.74,28.50,3,9.63,28.52,4,9.67,28.68,1,9.46,28.39,6,9.68,29.12
5,9.67,38.48,3,9.76,38.26,2,9.68,38.20,4,9.71,38.39,1,9.73,38.12,6,9.55,38.67
5,10.03,48.51,3,10.10,48.36,2,10.11,48.31,4,10.02,48.41,1,10.04,48.16,6,10.03,48.70
5,9.93,58.44,4,10.00,58.36,2,9.87,58.18,3,9.87,58.28,1,9.94,58.10,6,9.86,58.56
5,10.29,1:08.73,4,10.23,1:08.59,2,10.18,1:08.36,3,10.21,1:08.49,1,10.19,1:08.29,6,10.30,1:08.86
5,10.40,1:19.13,4,10.40,1:18.99,2,10.44,1:18.80,3,10.41,1:18.90,1,10.41,1:18.70,6,10.42,1:19.28
6,10.30,1:29.43,4,10.24,1:29.23,2,10.23,1:29.03,3,10.24,1:29.14,1,10.25,1:28.95,5,10.13,1:29.41
6,10.27,1:39.70,5,9.99,1:39.22,2,9.89,1:38.92,4,9.90,1:39.04,1,9.89,1:38.84,3,9.59,1:39.00
6,10.63,1:50.33,5,10.04,1:49.26,3,9.53,1:48.45,4,9.80,1:48.84,2,9.61,1:48.45,1,9.00,1:48.00
6,10.94,2:01.27,5,10.31,1:59.57,2,9.11,1:57.56,4,10.02,1:58.86,3,9.71,1:58.16,1,8.97,1:56.97
6,10.73,2:12.00,5,10.74,2:10.31,2,9.47,2:07.03,4,10.31,2:09.17,3,9.83,2:07.99,1,9.25,2:06.22
6,10.70,2:22.692,5,11.25,2:21.560,2,10.07,2:17.095,4,10.61,2:19.773,3,10.16,2:18.147,1,9.69,2:15.905
