Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,Attila SZASZ POSITION,Attila SZASZ LAP TIME,Attila SZASZ ELAPSED TIME,Luca LOEFFLER POSITION,Luca LOEFFLER LAP TIME,Luca LOEFFLER ELAPSED TIME,Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,Kaloyan ANGELOV POSITION,Kaloyan ANGELOV LAP TIME,Kaloyan ANGELOV ELAPSED TIME
2,12.13,12.13,4,12.46,12.46,1,12.00,12.00,3,12.32,12.32,5,12.91,12.91
1,8.76,20.89,4,8.84,21.30,3,9.19,21.19,2,8.64,20.96,5,22.79,35.70
1,8.99,29.88,4,8.89,30.19,3,8.88,30.07,2,9.00,29.96,5,16.38,52.08
1,9.08,38.96,4,9.07,39.26,3,9.07,39.14,2,9.07,39.03,5,11.03,1:03.11
1,9.23,48.19,4,9.40,48.66,3,9.28,48.42,2,9.23,48.26,5,10.78,1:13.89
2,9.42,57.61,4,9.68,58.34,3,9.38,57.80,1,9.14,57.40,5,11.09,1:24.98
2,9.67,1:07.28,4,10.10,1:08.44,3,9.70,1:07.50,1,9.15,1:06.55,5,11.21,1:36.19
2,10.03,1:17.31,4,10.58,1:19.02,3,10.03,1:17.53,1,9.32,1:15.87,5,11.18,1:47.37
2,10.29,1:27.575,4,10.73,1:29.733,3,10.24,1:27.753,1,9.48,1:25.335,5,11.31,1:58.650
