VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME
4,14.28,14.28,5,14.43,14.43,3,14.19,14.19,2,14.04,14.04,1,13.89,13.89
4,10.98,25.26,5,10.96,25.39,3,10.99,25.18,2,11.01,25.05,1,11.05,24.94
4,10.98,36.24,5,10.98,36.37,3,10.94,36.12,1,10.87,35.92,2,11.02,35.96
4,10.23,46.47,5,10.22,46.59,2,10.20,46.32,1,10.34,46.26,3,10.39,46.35
4,10.20,56.67,5,10.30,56.89,2,10.18,56.50,1,9.94,56.20,3,10.23,56.58
4,9.70,1:06.37,5,9.61,1:06.50,2,9.71,1:06.21,1,9.88,1:06.08,3,9.70,1:06.28
5,9.87,1:16.24,4,9.64,1:16.14,2,9.74,1:15.95,1,9.73,1:15.81,3,9.76,1:16.04
4,9.57,1:25.81,4,9.67,1:25.81,2,9.67,1:25.62,1,9.64,1:25.45,3,9.67,1:25.71
4,9.97,1:35.78,5,10.08,1:35.89,2,9.89,1:35.51,1,9.66,1:35.11,3,9.97,1:35.68
