CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME
2,8.85,8.85,5,9.12,9.12,3,8.98,8.98,6,9.33,9.33,4,9.08,9.08,1,8.76,8.76,7,9.56,9.56
3,11.91,20.76,1,11.52,20.64,4,11.90,20.88,6,11.85,21.18,5,11.96,21.04,2,11.89,20.65,7,11.79,21.35
4,10.48,31.24,1,10.44,31.08,5,10.54,31.42,3,10.04,31.22,6,10.52,31.56,2,10.44,31.09,7,10.35,31.70
4,9.89,41.13,3,9.97,41.05,5,9.72,41.14,1,9.62,40.84,6,9.75,41.31,2,9.86,40.95,7,9.77,41.47
5,10.16,51.29,2,9.94,50.99,4,10.06,51.20,3,10.17,51.01,6,10.08,51.39,1,9.98,50.93,7,10.04,51.51
6,10.00,1:01.29,1,9.90,1:00.89,5,10.00,1:01.20,4,10.07,1:01.08,2,9.56,1:00.95,3,10.05,1:00.98,6,9.78,1:01.29
7,9.52,1:10.81,2,9.28,1:10.17,5,9.35,1:10.55,4,9.38,1:10.46,1,9.05,1:10.00,3,9.30,1:10.28,6,9.44,1:10.73
7,9.05,1:19.86,2,9.16,1:19.33,5,9.06,1:19.61,4,9.06,1:19.52,1,9.26,1:19.26,3,9.17,1:19.45,6,9.04,1:19.77
7,9.21,1:29.07,2,9.27,1:28.60,4,9.17,1:28.78,5,9.36,1:28.88,1,9.26,1:28.52,3,9.25,1:28.70,6,9.22,1:28.99
6,9.21,1:38.28,1,9.14,1:37.74,4,9.22,1:38.00,5,9.26,1:38.14,2,9.25,1:37.77,3,9.17,1:37.87,7,9.62,1:38.61
6,9.11,1:47.39,1,9.25,1:46.99,4,9.15,1:47.15,5,9.13,1:47.27,3,9.35,1:47.12,2,9.19,1:47.06,7,9.39,1:48.00
6,9.10,1:56.49,1,9.12,1:56.11,2,9.02,1:56.17,4,9.07,1:56.34,5,9.23,1:56.35,3,9.18,1:56.24,7,9.73,1:57.73
5,9.00,2:05.49,1,9.00,2:05.11,2,9.05,2:05.22,3,8.95,2:05.29,6,9.15,2:05.50,4,9.08,2:05.32,7,10.26,2:07.99
5,9.17,2:14.66,2,9.16,2:14.27,1,8.98,2:14.20,3,9.14,2:14.43,6,9.48,2:14.986,4,9.19,2:14.51,7,10.81,2:18.804
