NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,LIM Kyoung Won POSITION,LIM Kyoung Won LAP TIME,LIM Kyoung Won ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
2,6.87,6.87,1,6.70,6.70,2,6.87,6.87,4,7.02,7.02,5,7.24,7.24
4,8.88,15.75,1,8.70,15.40,2,8.67,15.54,3,8.62,15.64,5,8.67,15.91
4,8.33,24.08,1,8.47,23.87,2,8.37,23.91,3,8.40,24.04,5,8.32,24.23
3,8.42,32.50,4,8.83,32.70,1,8.27,32.18,2,8.35,32.39,5,8.48,32.71
2,8.45,40.95,5,20.41,53.083,1,8.55,40.73,3,8.59,40.961,4,8.65,41.343
