Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
0,9.674,9.674,0,9.529,9.529,0,9.573,9.573,0,9.835,9.835,0,,,0,9.935,9.935
0,14.039,23.713,0,13.886,23.415,0,13.794,23.367,0,13.897,23.732,0,,,0,13.938,23.873
0,14.056,37.769,0,14.178,37.593,0,14.256,37.623,0,14.249,37.981,0,,,0,14.429,38.302
0,13.347,51.116,0,13.355,50.948,0,13.283,50.906,0,13.200,51.181,0,,,0,13.103,51.405
0,12.780,1:03.896,0,12.794,1:03.742,0,12.898,1:03.804,0,12.875,1:04.056,0,,,0,12.729,1:04.134
0,12.259,1:16.155,0,12.333,1:16.076,0,12.189,1:15.992,0,12.289,1:16.345,0,,,0,11.824,1:15.957
0,10.749,1:26.904,0,10.411,1:26.487,0,11.025,1:27.017,0,10.687,1:27.032,0,,,0,10.541,1:26.499
0,10.622,1:37.525,0,10.650,1:37.137,0,10.087,1:37.104,0,10.620,1:37.652,0,,,0,10.657,1:37.156
0,10.115,1:47.640,0,10.345,1:47.482,0,10.269,1:47.373,0,10.090,1:47.742,0,,,0,9.813,1:46.969
0,9.764,1:57.403,0,27.115,2:14.597,0,10.124,1:57.497,0,9.963,1:57.705,0,,,0,10.572,1:57.541
0,9.393,2:06.797,0,16.671,2:31.268,0,9.766,2:07.262,0,9.394,2:07.099,0,,,0,9.640,2:07.180
0,9.568,2:16.365,0,13.542,2:44.810,0,9.880,2:17.142,0,9.565,2:16.663,0,,,0,9.922,2:17.102
0,9.846,2:26.211,0,12.579,2:57.389,0,9.601,2:26.743,0,9.811,2:26.475,0,,,0,9.962,2:27.064
0,,,0,,,0,,,0,,,0,,,0,,
