PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
2,15.36,15.36,1,15.22,15.22,4,15.62,15.62,3,15.47,15.47
2,11.51,26.87,1,11.56,26.78,4,11.47,27.09,3,11.53,27.00
1,10.94,37.81,2,11.10,37.88,4,11.04,38.13,3,10.97,37.97
1,9.46,47.27,3,9.62,47.50,4,9.43,47.56,2,9.40,47.37
1,9.28,56.55,4,10.30,57.80,2,9.10,56.66,3,9.47,56.84
1,9.04,1:05.59,4,11.94,1:09.74,2,9.02,1:05.68,3,9.02,1:05.86
1,9.10,1:14.69,4,11.58,1:21.32,2,9.04,1:14.72,3,8.90,1:14.76
1,9.09,1:23.78,4,13.07,1:34.39,3,9.23,1:23.95,2,9.14,1:23.90
2,22.86,1:46.631,3,13.08,1:47.466,0,,PEN,1,9.39,1:33.286
