Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME
3,8.69,8.69,2,8.61,8.61,4,8.81,8.81,5,8.95,8.95,1,8.57,8.57,6,9.03,9.03,7,9.15,9.15
4,11.25,19.94,1,11.06,19.67,3,11.09,19.90,5,11.21,20.16,2,11.21,19.78,6,11.25,20.28,7,11.31,20.46
4,10.53,30.47,2,10.49,30.16,3,10.42,30.32,5,10.41,30.57,1,10.28,30.06,6,10.40,30.68,7,10.36,30.82
5,10.17,40.64,3,10.34,40.50,2,10.07,40.39,4,10.05,40.62,1,10.21,40.27,6,10.11,40.79,7,10.11,40.93
5,9.89,50.53,1,9.66,50.16,3,9.90,50.29,4,9.79,50.41,2,9.91,50.18,6,9.85,50.64,7,9.88,50.81
5,9.41,59.94,1,9.35,59.51,3,9.37,59.66,4,9.39,59.80,2,9.35,59.53,6,9.41,1:00.05,7,9.35,1:00.16
5,9.22,1:09.16,3,9.50,1:09.01,2,9.22,1:08.88,3,9.21,1:09.01,1,9.22,1:08.75,6,9.25,1:09.30,7,9.27,1:09.43
4,9.23,1:18.39,6,9.49,1:18.50,2,9.30,1:18.18,3,9.28,1:18.29,1,9.33,1:18.08,5,9.15,1:18.45,7,9.19,1:18.62
4,9.46,1:27.85,7,9.60,1:28.10,2,9.48,1:27.66,3,9.46,1:27.75,1,9.54,1:27.62,5,9.53,1:27.98,6,9.46,1:28.08
3,9.43,1:37.28,6,9.43,1:37.53,1,9.40,1:37.06,2,9.38,1:37.13,5,9.87,1:37.49,4,9.47,1:37.45,7,9.55,1:37.63
3,9.38,1:46.66,5,9.32,1:46.85,2,9.47,1:46.53,1,9.28,1:46.41,7,9.88,1:47.37,4,9.28,1:46.73,6,9.35,1:46.98
2,9.19,1:55.85,6,9.54,1:56.39,3,9.34,1:55.87,1,9.33,1:55.74,7,10.08,1:57.45,4,9.25,1:55.98,5,9.26,1:56.24
2,9.38,2:05.23,6,9.65,2:06.04,5,9.76,2:05.63,1,9.46,2:05.20,7,10.47,2:07.92,3,9.40,2:05.38,4,9.36,2:05.60
1,9.53,2:14.738,6,10.11,2:16.130,5,10.23,2:15.841,3,10.02,2:15.200,7,10.84,2:18.742,2,9.54,2:14.906,4,9.75,2:15.317
