Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME
2,14.98,14.98,1,14.92,14.92,3,15.13,15.13,4,15.25,15.25
2,12.18,27.16,1,12.17,27.09,3,12.16,27.29,4,12.17,27.42
2,11.01,38.17,1,10.99,38.08,3,11.00,38.29,4,10.96,38.38
2,10.40,48.57,1,10.41,48.49,3,10.40,48.69,4,10.41,48.79
2,10.26,58.83,1,10.25,58.74,3,10.22,58.91,4,10.25,59.04
1,10.17,1:09.00,2,10.29,1:09.03,3,10.25,1:09.16,4,10.43,1:09.47
1,9.65,1:18.65,2,9.72,1:18.75,3,9.68,1:18.84,4,10.79,1:20.26
1,9.81,1:28.46,2,9.81,1:28.56,3,9.82,1:28.66,4,11.48,1:31.74
1,9.91,1:38.370,3,10.15,1:38.703,2,9.92,1:38.579,4,11.87,1:43.603
