TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,Thibault METRAUX POSITION,Thibault METRAUX LAP TIME,Thibault METRAUX ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,Jing Feng XU POSITION,Jing Feng XU LAP TIME,Jing Feng XU ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,LIAO Wei-Cheng POSITION,LIAO Wei-Cheng LAP TIME,LIAO Wei-Cheng ELAPSED TIME
1,15.48,15.48,4,15.83,,6,15.93,15.93,2,15.62,15.62,3,15.76,15.76,5,15.89,15.89
1,11.19,26.67,5,11.15,,3,10.92,26.85,4,11.25,26.87,2,11.02,26.78,6,11.18,27.07
2,10.55,37.22,5,10.54,,1,10.29,37.14,3,10.44,37.31,4,10.63,37.41,6,10.56,37.63
2,10.65,47.87,5,10.67,,1,10.58,47.72,4,10.75,48.06,3,10.54,47.95,6,10.66,48.29
1,9.81,57.68,5,9.82,,4,10.19,57.91,3,9.81,57.87,2,9.90,57.85,6,9.91,58.20
1,9.69,1:07.37,4,9.72,,3,9.80,1:07.71,6,18.92,1:16.79,2,9.63,1:07.48,5,9.78,1:07.98
1,9.33,1:16.70,3,9.40,,4,9.62,1:17.33,6,15.83,1:32.62,2,9.25,1:16.73,5,9.45,1:17.43
2,9.44,1:26.14,3,9.19,,4,9.59,1:26.92,6,13.06,1:45.68,1,9.22,1:25.95,5,9.51,1:26.94
2,9.29,1:35.434,3,9.28,,4,10.85,1:37.778,5,12.76,1:58.441,1,9.30,1:35.254,3,9.80,1:36.749
