SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,12.71,12.71,3,12.86,12.86,4,13.01,13.01,2,12.72,12.72
1,9.53,22.24,3,9.59,22.45,4,9.56,22.57,2,9.56,22.28
1,9.25,31.49,3,9.32,31.77,4,9.31,31.88,2,9.34,31.62
1,9.18,40.67,3,9.18,40.95,4,9.23,41.11,2,9.07,40.69
2,9.13,49.80,3,9.00,49.95,4,8.96,50.07,1,9.01,49.70
2,9.11,58.91,3,9.20,59.15,4,9.20,59.27,1,9.12,58.82
2,8.99,1:07.90,4,9.42,1:08.57,3,9.27,1:08.54,1,8.95,1:07.77
2,9.00,1:16.90,4,10.12,1:18.69,3,9.49,1:18.03,1,9.02,1:16.79
2,9.23,1:26.13,4,10.76,1:29.45,3,9.92,1:27.95,1,9.20,1:25.99
