YANG Shuai POSITION,YANG Shuai LAP TIME,YANG Shuai ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
1,6.76,6.76,3,6.92,6.92,2,6.84,,4,7.00,7.00,5,7.21,7.21
2,9.00,15.76,4,9.03,15.95,1,8.82,,3,8.88,15.88,5,8.87,16.08
2,8.36,24.12,4,8.40,24.35,1,8.38,,3,8.37,24.25,5,8.46,24.54
5,21.56,45.68,1,8.43,32.78,4,20.57,,3,15.19,39.44,2,8.46,33.00
5,17.16,1:02.84,1,8.82,41.60,4,17.12,,3,15.85,55.29,2,8.71,41.71
