WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME
1,14.15,14.15,2,14.25,14.25,4,14.40,14.40,3,14.38,14.38
1,11.05,25.20,3,11.06,25.31,2,10.86,25.26,4,11.08,25.46
2,9.95,35.15,3,9.94,35.25,1,9.81,35.07,4,9.91,35.37
1,10.37,45.52,3,10.41,45.66,2,10.50,45.57,4,10.45,45.82
1,9.96,55.48,2,9.93,55.59,4,10.28,55.85,3,9.90,55.72
1,10.03,1:05.51,3,10.02,1:05.61,4,9.91,1:05.76,2,9.88,1:05.60
3,10.68,1:16.19,1,10.39,1:16.00,4,10.54,1:16.30,2,10.50,1:16.10
3,10.72,1:26.91,1,10.67,1:26.67,4,10.87,1:27.17,2,10.68,1:26.78
2,10.28,1:37.183,1,10.42,1:37.087,3,10.39,1:37.558,0,,PEN
