Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,12.80,12.80,2,12.93,12.93,3,12.96,12.96,4,13.14,13.14
2,10.08,22.88,3,10.04,22.97,1,9.77,22.73,4,9.96,23.10
2,9.45,32.33,3,9.40,32.37,1,9.48,32.21,4,9.44,32.54
3,9.04,41.37,2,8.89,41.26,1,8.87,41.08,4,8.95,41.49
3,9.00,50.37,2,9.01,50.27,1,9.05,50.13,4,8.96,50.45
3,9.23,59.60,2,9.17,59.44,1,9.18,59.31,4,9.25,59.70
2,9.02,1:08.62,3,9.24,1:08.68,1,9.22,1:08.53,4,9.17,1:08.87
1,9.41,1:18.03,2,9.51,1:18.19,4,40.35,1:48.88,3,9.40,1:18.27
0,,PEN,1,9.40,1:27.583,3,1:431.11,9:59.990,2,9.59,1:27.853
