Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Maria ORLOVA POSITION,Maria ORLOVA LAP TIME,Maria ORLOVA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Rosalie HUISMAN POSITION,Rosalie HUISMAN LAP TIME,Rosalie HUISMAN ELAPSED TIME
3,9.80,9.80,5,9.97,9.97,7,10.24,10.24,6,10.11,10.11,4,9.84,9.84,2,9.74,9.74,1,9.66,9.66
5,14.02,23.82,6,13.89,23.86,7,13.80,24.04,1,13.26,23.37,4,13.85,23.69,3,13.87,23.61,2,13.83,23.49
7,12.24,36.06,2,11.79,35.65,1,11.61,35.65,3,12.37,35.74,6,12.22,35.91,5,12.27,35.88,4,12.31,35.80
7,10.47,46.53,3,10.50,46.15,1,10.45,46.10,4,10.53,46.27,6,10.53,46.44,2,10.25,46.13,5,10.54,46.34
7,10.22,56.75,2,9.99,56.14,3,10.21,56.31,5,10.25,56.52,6,10.19,56.63,1,9.89,56.02,4,10.05,56.39
7,10.19,1:06.94,2,10.31,1:06.45,3,10.26,1:06.57,5,10.28,1:06.80,6,10.18,1:06.81,1,10.35,1:06.37,4,10.30,1:06.69
7,10.68,1:17.62,2,10.68,1:17.13,3,10.63,1:17.20,6,10.73,1:17.53,5,10.56,1:17.37,1,10.66,1:17.03,4,10.60,1:17.29
7,10.74,1:28.36,2,10.69,1:27.82,3,10.70,1:27.90,6,10.74,1:28.27,5,10.72,1:28.09,1,10.72,1:27.75,4,10.72,1:28.01
7,10.79,1:39.15,3,10.89,1:38.71,2,10.80,1:38.70,6,10.78,1:39.05,4,10.74,1:38.83,1,10.86,1:38.61,5,11.00,1:39.01
7,10.39,1:49.54,2,10.59,1:49.30,5,10.75,1:49.45,4,10.38,1:49.43,3,10.51,1:49.34,1,10.68,1:49.29,6,10.52,1:49.53
6,1:00.76,2:50.30,5,33.63,2:22.93,3,10.33,1:59.78,1,9.37,1:58.80,2,10.29,1:59.63,7,1:19.42,3:08.71,4,10.48,2:00.01
6,16.13,3:06.43,5,19.53,2:42.46,3,9.98,2:09.76,1,9.57,2:08.37,2,9.94,2:09.57,7,18.73,3:27.44,4,10.04,2:10.05
6,12.88,3:19.31,5,15.41,2:57.87,3,9.96,2:19.72,1,10.38,2:18.75,2,10.01,2:19.58,7,15.54,3:42.98,4,10.49,2:20.54
5,11.83,3:31.132,0,,PEN,3,10.20,2:29.914,1,10.72,2:29.468,2,10.18,2:29.759,6,14.50,3:57.471,4,11.42,2:31.954
