Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,de CLEMENTE Clayton POSITION,de CLEMENTE Clayton LAP TIME,de CLEMENTE Clayton ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME
1,7.00,7.00,2,7.10,7.10,3,7.11,7.11,4,7.25,7.25,5,7.44,
1,9.05,16.05,2,8.97,16.07,3,9.30,16.41,4,9.24,16.49,5,9.18,
1,8.60,24.65,2,8.66,24.73,3,8.73,25.14,4,8.82,25.31,5,8.77,
2,8.63,33.28,1,8.45,33.18,4,8.84,33.98,3,8.65,33.96,5,8.71,
2,8.74,42.02,1,8.76,41.94,4,10.18,44.160,3,8.83,42.796,4,9.01,
