HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Steavanus WIHARDJA POSITION,Steavanus WIHARDJA LAP TIME,Steavanus WIHARDJA ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME
2,7.11,7.11,1,7.00,7.00,5,7.61,7.61,3,7.27,7.27,4,7.53,7.53
2,8.80,15.91,1,8.74,15.74,5,9.73,17.34,3,8.87,16.14,4,9.10,16.63
3,8.61,24.52,1,8.47,24.21,5,9.33,26.67,2,8.29,24.43,4,8.72,25.35
3,8.79,33.31,1,8.60,32.81,5,9.36,36.03,2,8.45,32.88,4,8.83,34.18
3,8.98,42.285,1,8.96,41.758,5,9.56,45.575,2,8.93,41.807,4,9.02,43.204
