Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
1,12.93,12.93,2,13.04,13.04,4,13.29,13.29,3,13.16,13.16
2,10.31,23.24,1,10.12,23.16,3,10.03,23.32,4,10.33,23.49
1,9.96,33.20,3,10.19,33.35,2,9.98,33.30,4,10.01,33.50
2,9.68,42.88,3,9.68,43.03,1,9.50,42.80,4,9.73,43.23
2,9.63,52.51,3,9.57,52.60,1,9.63,52.43,4,9.54,52.77
2,9.65,1:02.16,3,9.68,1:02.28,1,9.73,1:02.16,4,9.65,1:02.42
1,9.74,1:11.90,3,9.88,1:12.16,2,9.89,1:12.05,4,9.86,1:12.28
1,10.02,1:21.92,3,9.92,1:22.08,2,9.99,1:22.04,4,10.44,1:22.72
1,10.19,1:32.104,0,,PEN,2,10.70,1:32.739,3,11.33,1:34.046
