SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME
1,6.81,6.81,3,6.94,6.94,2,6.91,6.91,4,7.22,7.22,5,7.83,7.83
1,9.23,16.04,3,9.27,16.21,2,9.21,16.12,4,9.14,16.36,5,10.11,17.94
2,8.81,24.85,3,8.73,24.94,1,8.66,24.78,4,8.88,25.24,5,9.83,27.77
3,8.94,33.79,2,8.74,33.68,1,8.76,33.54,4,9.03,34.27,5,10.12,37.89
3,8.90,42.681,2,,42.431,1,,42.416,4,9.33,43.591,5,10.49,48.361
