John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME
2,12.66,12.66,5,12.91,12.91,6,13.02,13.02,3,12.76,12.76,4,12.85,12.85,1,12.54,12.54
1,9.71,22.37,5,9.95,22.86,6,9.96,22.98,4,9.90,22.66,2,9.62,22.47,3,10.06,22.60
1,9.47,31.84,5,9.41,32.27,6,9.37,32.35,4,9.47,32.13,2,9.46,31.93,3,9.42,32.02
2,9.27,41.11,5,9.24,41.51,6,9.29,41.64,4,9.23,41.36,1,9.07,41.00,3,9.22,41.24
2,9.13,50.24,4,8.86,50.37,6,8.93,50.57,3,8.98,50.34,1,9.15,50.15,5,9.22,50.46
2,9.12,59.36,3,9.13,59.50,5,9.19,59.76,4,9.29,59.63,1,9.07,59.22,6,9.40,59.86
2,9.00,1:08.36,4,8.99,1:08.49,5,9.00,1:08.76,3,8.79,1:08.42,1,9.00,1:08.22,6,9.09,1:08.95
2,8.91,1:17.27,4,9.05,1:17.54,5,9.04,1:17.80,3,8.94,1:17.36,1,8.96,1:17.18,6,9.25,1:18.20
2,8.91,1:26.181,4,8.91,1:26.459,5,9.28,1:27.081,3,8.94,1:26.308,1,8.95,1:26.138,6,9.56,1:27.763
