Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME
4,17.120,17.120,2,16.831,16.831,1,16.811,16.811,3,16.929,16.929
4,13.934,31.054,2,14.039,30.870,1,13.984,30.795,3,14.055,30.984
1,13.568,44.622,2,13.870,44.740,0,,,3,13.857,44.841
1,12.804,57.426,3,12.933,57.673,2,,57.513,4,12.924,57.765
3,10.576,1:08.002,2,10.238,1:07.911,1,10.297,1:07.810,4,10.302,1:08.067
4,9.626,1:17.627,2,9.566,1:17.477,3,9.698,1:17.508,1,9.405,1:17.471
3,9.540,1:27.167,1,9.046,1:26.523,2,9.440,1:26.948,0,,
2,9.449,1:36.616,1,9.320,1:35.843,3,9.676,1:36.623,4,,1:36.625
2,9.289,1:45.906,1,9.516,1:45.359,4,9.681,1:46.304,3,9.516,1:46.142
