Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,8.43,8.43,2,8.46,8.46,3,8.80,8.80,5,8.99,8.99,7,9.58,9.58,4,8.80,8.80,6,9.02,9.02
2,12.33,20.77,3,12.41,20.88,4,12.33,21.14,1,11.27,20.27,7,12.19,21.78,5,12.39,21.20,6,12.20,21.22
1,10.08,30.85,3,10.34,31.22,4,10.30,31.44,5,11.21,31.48,7,9.92,31.70,6,10.36,31.56,2,9.89,31.12
2,10.52,41.38,3,10.27,41.49,6,10.25,41.70,1,9.80,41.28,7,10.04,41.75,5,10.05,41.62,4,10.37,41.50
2,9.63,51.01,5,9.99,51.48,7,9.92,51.63,3,9.97,51.25,4,9.56,51.31,1,9.33,50.95,6,9.99,51.49
2,9.72,1:00.74,4,9.50,1:00.99,6,9.60,1:01.23,3,9.55,1:00.80,7,9.93,1:01.24,1,9.79,1:00.74,5,9.72,1:01.21
1,9.59,1:10.34,5,9.61,1:10.60,6,9.56,1:10.79,2,9.57,1:10.37,4,9.34,1:10.58,3,9.63,1:10.38,7,9.65,1:10.87
4,9.36,1:19.70,1,8.76,1:19.36,7,9.45,1:20.25,2,9.18,1:19.56,5,9.42,1:20.01,3,9.30,1:19.68,6,9.23,1:20.10
2,9.14,1:28.85,1,9.46,1:28.83,7,9.23,1:29.48,3,9.42,1:28.98,5,9.14,1:29.15,4,9.34,1:29.03,6,9.27,1:29.38
1,9.33,1:38.18,4,9.53,1:38.36,6,9.27,1:38.76,3,9.25,1:38.24,7,9.67,1:38.82,2,9.19,1:38.22,5,9.26,1:38.64
1,9.22,1:47.40,5,9.54,1:47.90,7,9.54,1:48.31,3,9.22,1:47.46,4,8.96,1:47.78,2,9.23,1:47.46,6,9.50,1:48.15
1,9.33,1:56.74,7,9.99,1:57.89,6,9.41,1:57.72,2,9.32,1:56.79,4,9.33,1:57.12,3,9.43,1:56.90,5,9.29,1:57.44
2,9.33,2:06.07,7,10.66,2:08.56,6,9.65,2:07.37,1,9.20,2:05.99,4,9.36,2:06.48,3,9.27,2:06.17,5,9.50,2:06.94
1,9.60,2:15.670,7,11.68,2:20.238,6,9.98,2:17.347,2,9.74,2:15.728,3,9.32,2:15.793,4,9.64,2:15.810,5,9.88,2:16.819
