Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME
3,7.05,7.05,2,7.01,7.01,1,6.97,6.97,4,7.52,7.52
3,9.32,16.37,1,9.07,16.09,2,9.16,16.13,4,9.37,16.89
3,8.90,25.28,1,8.76,24.85,2,8.83,24.96,4,8.90,25.79
2,8.68,33.96,1,8.95,33.80,3,9.01,33.98,4,9.16,34.95
2,9.13,43.086,3,9.30,43.099,1,9.04,43.017,4,9.50,44.450
