J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
2,6.94,6.94,1,6.80,6.80,3,7.18,7.18,4,7.28,7.28
2,9.09,16.03,1,9.11,15.91,4,9.24,16.42,3,8.98,16.26
2,8.57,24.60,1,8.67,24.58,4,8.96,25.38,3,8.52,24.78
1,8.66,33.26,2,8.79,33.37,4,9.11,34.49,3,8.69,33.47
1,8.76,42.017,2,8.73,42.091,4,9.36,43.849,3,8.74,42.205
