Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
2,6.99,6.99,1,6.80,6.80,3,7.17,7.17,4,7.25,7.25
2,8.92,15.91,1,8.92,15.72,3,8.86,16.03,4,8.94,16.19
3,8.58,24.49,1,8.48,24.20,2,8.41,24.44,4,8.45,24.64
3,8.61,33.10,1,8.72,32.92,2,8.57,33.01,4,8.57,33.21
3,8.98,42.079,1,8.85,41.764,4,9.09,42.092,2,8.68,41.890
