Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME
4,13.29,13.29,3,13.15,13.15,2,13.08,13.08,1,13.05,13.05
3,9.79,23.08,4,9.94,23.09,1,9.89,22.97,2,9.97,23.02
1,9.35,32.43,3,9.50,32.59,4,9.71,32.68,2,9.51,32.53
1,9.61,42.04,3,9.64,42.23,4,9.67,42.35,2,9.53,42.06
3,9.43,51.47,2,9.16,51.39,4,9.30,51.65,1,9.31,51.37
3,9.33,1:00.80,2,9.33,1:00.72,4,9.25,1:00.90,1,9.25,1:00.62
3,9.17,1:09.97,2,9.16,1:09.88,4,9.22,1:10.12,1,9.15,1:09.77
3,9.17,1:19.14,2,9.23,1:19.11,4,9.40,1:19.52,1,9.28,1:19.05
2,9.43,1:28.566,3,9.57,1:28.672,4,9.78,1:29.300,1,9.49,1:28.540
