Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
1,13.92,13.92,5,14.46,14.46,4,14.36,14.36,3,14.21,14.21,2,14.05,14.05
1,10.50,24.42,5,10.37,24.83,4,10.37,24.73,3,10.41,24.62,2,10.49,24.54
1,10.17,34.59,5,10.23,35.06,4,10.22,34.95,3,10.22,34.84,2,10.16,34.70
1,9.91,44.50,5,9.96,45.02,4,9.86,44.81,3,9.78,44.62,2,9.91,44.61
2,9.32,53.82,5,9.27,54.29,4,9.14,53.95,1,9.09,53.71,3,9.34,53.95
2,9.64,1:03.46,5,9.73,1:04.02,3,9.55,1:03.50,1,9.72,1:03.43,4,9.77,1:03.72
2,9.51,1:12.97,5,9.70,1:13.72,1,9.20,1:12.70,3,9.64,1:13.07,4,9.46,1:13.18
3,9.64,1:22.61,5,10.41,1:24.13,1,9.50,1:22.20,2,9.21,1:22.28,4,9.62,1:22.80
3,10.01,1:32.612,5,10.92,1:35.047,2,9.55,1:31.748,1,9.35,1:31.630,4,10.38,1:33.171
